year,country,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,latitude,longitude,tavg,tmin,tmax,wdir,wspd,pres
2018,South Korea,5.84,10.643,0.798,73.6,0.6,-0.089,0.797,0.661,0.217,37.566535,126.977969,13.10273973,9.558909091,20.08479532,199.2710843,9.337951807,1017.380723
2018,Spain,6.513,10.605,0.91,74.4,0.722,-0.075,0.777,0.659,0.357,40.416775,-3.70379,12.4489011,8.477260274,17.47506849,0,0,0
2018,Sri Lanka,4.435,9.462,0.833,67.2,0.859,0.106,0.856,0.831,0.302,6.89407,79.902478,27.26136986,24.47567568,30.40507042,150.2037037,7.408433735,1009.940239
2018,Sweden,7.375,10.881,0.931,72.6,0.942,0.077,0.263,0.823,0.161,59.329323,18.068581,8.007282913,3.96,11.55616438,193.7574627,11.64565217,1014.993838
2018,Thailand,6.012,9.803,0.873,67.2,0.905,0.259,0.907,0.843,0.198,13.756331,100.501765,28.45068493,25.33933518,32.7271978,168.9956522,6.294334278,1008.571856
2018,Togo,4.023,7.348,0.596,54.7,0.612,-0.007,0.809,0.608,0.446,6.172497,1.231362,27.42575342,24.51076923,31.15969697,223.9182879,14.4496875,1011.729195
2018,Tunisia,4.741,9.284,0.733,66.9,0.65,-0.191,0.84,0.592,0.365,36.806495,10.181532,19.17671233,14.87106742,24.34329609,218.8170732,12.87801205,1012.11461
2018,Turkmenistan,4.621,9.605,0.984,62.2,0.858,0.26,0,0.612,0.189,37.960077,58.326063,19.27671233,13.75123967,24.9706044,193.9587156,11.77888889,1017.870122
2018,Ukraine,4.662,9.42,0.901,64.6,0.663,-0.074,0.943,0.609,0.222,50.4501,30.5234,9.904109589,5.477071823,14.41972603,171.9511401,11.11361111,1017.380503
2018,United Arab Emirates,6.604,11.112,0.851,67.1,0.944,0.054,0,0.787,0.302,24.299174,54.697277,29.08630137,24.06318681,35.07589041,179.3944223,13.27087912,1008.070487
2018,United Kingdom,7.233,10.743,0.928,72.3,0.838,0.226,0.404,0.783,0.228,51.507351,-0.127758,11.85068493,8.646153846,15.31456044,180.8818681,14.38791209,1014.948901
2018,United States,6.883,11.025,0.904,68.3,0.825,0.116,0.71,0.815,0.292,38.907192,-77.036871,14.78082192,10.70082192,19.51013699,197.3929712,13.98520548,1018.868513
2018,Uruguay,6.372,9.98,0.917,69,0.876,-0.097,0.683,0.877,0.275,-34.901113,-56.164531,16.87068493,12.81587744,21.94106145,141.5851064,14.55807365,1015.450926
2018,Venezuela,5.006,0,0.887,66.5,0.611,0,0.828,0.759,0.374,10.480594,-66.903606,26.47346369,23.52633588,30.16412214,84.31818182,6.042622951,1012.572561
2018,Vietnam,5.296,8.934,0.832,67.9,0.909,-0.041,0.808,0.692,0.191,21.027764,105.83416,24.22547945,21.34834254,27.7464986,128.1569966,10.32619718,1007.147432
2019,Albania,4.995,9.544,0.686,69,0.777,-0.099,0.914,0.681,0.274,41.327546,19.818698,16.55123288,10.21643836,23.75945205,193.6291209,7.707967033,1014.809341
2019,Algeria,4.745,9.337,0.803,66.1,0.385,0.005,0.741,0.585,0.215,36.752887,3.042048,19.44136986,16.62273973,24.10739726,185.5690608,11.04246575,1017.14137
2019,Argentina,6.086,10,0.896,69,0.817,-0.211,0.83,0.826,0.319,-34.603684,-58.381559,17.93863014,14.26493151,22.44109589,163.8136986,13.65643836,1016.152329
2019,Austria,7.195,10.939,0.964,73.3,0.903,0.06,0.457,0.774,0.205,48.208174,16.373819,14.12712329,10.98082192,17.55232877,222.3049451,12.20796703,1016.010714
2019,Azerbaijan,5.173,9.575,0.887,65.8,0.854,-0.214,0.457,0.643,0.164,40.409262,49.867092,15.41616438,11.62739726,19.18958904,248.8498584,19.02630137,1015.79863
2019,Bahrain,7.098,10.715,0.878,69.3,0.907,0.048,0,0.762,0.317,26.228516,50.58605,27.9,25.12739726,31.42712329,228.1369863,15.73753425,1009.319452
2019,Bangladesh,5.114,8.467,0.673,64.8,0.902,-0.051,0.656,0.537,0.369,23.810332,90.412518,26.22575342,22.61780822,30.63808219,173.3212121,8.839726027,1008.192603
2019,Belarus,5.821,9.86,0.917,66.4,0.657,-0.186,0.546,0.591,0.19,53.90454,27.561524,9.316438356,4.897534247,13.53863014,203.927673,12.72876712,1014.126575
2019,Belgium,6.772,10.853,0.884,72.2,0.776,-0.172,0.672,0.733,0.244,50.85034,4.35171,11.7430137,8.171153846,15.68657534,193.4120879,12.57087912,1014.758516
2019,Benin,4.976,8.098,0.442,54.7,0.77,-0.016,0.698,0.659,0.441,6.496857,2.628852,27.62739726,24.575,30.6906015,0,0,0
2019,Burkina Faso,4.741,7.691,0.683,54.4,0.678,-0.004,0.729,0.691,0.365,12.371428,-1.51966,30.47561644,24.66767123,36.89479452,155.3168044,10.24794521,1011.179178
2019,Cambodia,4.998,8.387,0.759,62,0.957,0.013,0.828,0.844,0.39,11.544873,104.892167,28.70438356,24.72136986,33.17945205,159.6825397,10.2339726,1008.773151
2019,Canada,7.109,10.8,0.925,73.8,0.912,0.112,0.436,0.822,0.285,45.42153,-75.697193,5.874246575,0.731232877,11.01205479,205.1648352,12.60989011,1015.872253
2019,Chad,4.251,7.365,0.64,48.7,0.537,0.055,0.832,0.587,0.46,12.134846,15.055742,30.20712329,23.32520548,37.70164384,160.8821918,11.9690411,1009.654795
2019,China,5.144,9.688,0.822,69.6,0.927,-0.173,0,0.891,0.147,39.904211,116.407395,13.54575342,7.304931507,19.7969863,169.3835616,9.642739726,1016.793699
2019,Comoros,4.609,8.033,0.632,57.5,0.538,0.077,0.762,0.736,0.336,-11.717216,43.247315,26.93369863,23.39232877,30.91013699,130.3369863,13.31452055,1013.772603
